PLUG.ID,IMG,Treatment,Polyp,Treatment,Time,Red.Standard,Blue.Standard ,Green.Standard,Red.Coral,Blue.Coral,Green.Coral
2564,6,Acclimation,3,4,t0,171.238,113.67,47.576,118.199,60.585,101.427
2882,7,Acclimation,1,4,t0,177.216,24.113,38.77,114.041,53.359,94.661
2882,7,Acclimation,2,4,t0,177.216,24.113,38.77,100.408,47.411,81.678
2882,7,Acclimation,3,4,t0,177.216,24.113,38.77,87.328,41.859,71.615
1534,7,Acclimation,1,4,t0,177.216,24.113,38.77,81.981,40.271,70.564
1534,7,Acclimation,2,4,t0,177.216,24.113,38.77,78.658,31.622,64.201
1534,7,Acclimation,3,4,t0,177.216,24.113,38.77,75.694,35.277,67.23
2146,7,Acclimation,1,4,t0,177.216,24.113,38.77,135.972,57.527,111.468
2146,7,Acclimation,2,4,t0,177.216,24.113,38.77,135.375,57.558,111.866
2146,7,Acclimation,3,4,t0,177.216,24.113,38.77,161.551,71.066,131.355
2863,7,Acclimation,1,4,t0,177.216,24.113,38.77,102.021,63.251,95.744
2863,7,Acclimation,2,4,t0,177.216,24.113,38.77,105.329,61.335,95.711
2863,7,Acclimation,3,4,t0,177.216,24.113,38.77,80.884,46.525,72.231
2184,7,Acclimation,1,4,t0,177.216,24.113,38.77,174.817,108.927,165.98
2184,7,Acclimation,2,4,t0,177.216,24.113,38.77,161.77,102.785,156.422
2184,7,Acclimation,3,4,t0,177.216,24.113,38.77,167.097,104.122,157.848
1779,7,Acclimation,1,4,t0,177.216,24.113,38.77,107.282,55.868,95.457
1779,7,Acclimation,2,4,t0,177.216,24.113,38.77,92.198,45.842,80.939
1779,7,Acclimation,3,4,t0,177.216,24.113,38.77,110.107,54.155,101.104
1679,7,Acclimation,1,4,t0,177.216,24.113,38.77,103.585,59.138,95.851
1679,7,Acclimation,2,4,t0,177.216,24.113,38.77,109.699,63.635,104.45
1679,7,Acclimation,3,4,t0,177.216,24.113,38.77,101.619,60.754,97.002
1082,1,Dark,1,0,t1,193.655,124.173,47.145,157.171,93.19,119.227
1082,1,Dark,2,0,t1,193.655,124.173,47.145,157.978,84.99,118.955
1082,1,Dark,3,0,t1,193.655,124.173,47.145,155.629,83.118,115.081
1765,1,Dark,1,0,t1,193.655,124.173,47.145,114.55,58.271,86.158
1765,1,Dark,2,0,t1,193.655,124.173,47.145,125.685,50.909,84.816
1765,1,Dark,3,0,t1,193.655,124.173,47.145,103.27,45.164,68.577
2067,1,Dark,1,0,t1,193.655,124.173,47.145,87.639,32.908,59.848
2067,1,Dark,2,0,t1,193.655,124.173,47.145,110.672,48.444,82.036
2067,1,Dark,3,0,t1,193.655,124.173,47.145,125.951,68.93,100.485
1709,1,Dark,1,0,t1,193.655,124.173,47.145,105.36,61.381,85.768
1709,1,Dark,2,0,t1,193.655,124.173,47.145,109.804,55.926,84.958
1709,1,Dark,3,0,t1,193.655,124.173,47.145,114.296,59.934,87.61
2012,1,Dark,1,0,t1,193.655,124.173,47.145,117.764,67.272,89.975
2012,1,Dark,2,0,t1,193.655,124.173,47.145,145.278,89.491,117.104
2012,1,Dark,3,0,t1,193.655,124.173,47.145,152.114,95.283,125.687
1679,1,Dark,1,0,t1,193.655,124.173,47.145,158.014,96.725,127.057
1679,1,Dark,2,0,t1,193.655,124.173,47.145,161.695,103.262,132.769
1679,1,Dark,3,0,t1,193.655,124.173,47.145,155.455,106.223,131.347
1411,1,Dark,1,0,t1,193.655,124.173,47.145,92.591,32.091,55.361
1411,1,Dark,2,0,t1,193.655,124.173,47.145,94.944,27.084,52.974
1411,1,Dark,3,0,t1,193.655,124.173,47.145,110.381,28.619,60.984
2304,1,Dark,1,0,t1,193.655,124.173,47.145,82.573,34.81,54.005
2304,1,Dark,2,0,t1,193.655,124.173,47.145,88.053,33.86,52.435
2304,1,Dark,3,0,t1,193.655,124.173,47.145,62.417,24.489,35.605
1329,2,Light,1,1,t1,221.904,179.176,75.576,125.696,65.871,97.715
1329,2,Light,2,1,t1,221.904,179.176,75.576,131.47,52.83,98.345
1329,2,Light,3,1,t1,221.904,179.176,75.576,156.341,67.908,123.762
1811,2,Light,1,1,t1,221.904,179.176,75.576,167.558,91.522,139.849
1811,2,Light,2,1,t1,221.904,179.176,75.576,163.33,112.284,150.256
1811,2,Light,3,1,t1,221.904,179.176,75.576,154.142,78.482,126.611
1051,2,Light,1,1,t1,221.904,179.176,75.576,144.708,72.948,119.123
1051,2,Light,2,1,t1,221.904,179.176,75.576,166.136,100.813,151.251
1051,2,Light,3,1,t1,221.904,179.176,75.576,203.974,140.073,186.748
1695,2,Light,1,1,t1,221.904,179.176,75.576,94.696,51.217,76.675
1695,2,Light,2,1,t1,221.904,179.176,75.576,107.048,48.516,84.207
1695,2,Light,3,1,t1,221.904,179.176,75.576,121.087,63.428,98.095
1436,2,Light,1,1,t1,221.904,179.176,75.576,198.943,133.718,178.127
1436,2,Light,2,1,t1,221.904,179.176,75.576,218.897,182.369,206.69
